2016-12-20 16:39:19.477697

topic-folder:/home/ec2-user/data/topics/
cl-file:/home/ec2-user/git/tfidf/result-new/b2-1.txt
cl-floder:/home/ec2-user/data/lsaclass/
zipf:0.1
stype[0(tfidf)/1(tfidf2)/2(lsa)/3(lda)]:2
dtype[<0(diff*rand)/0(diff)/1(same)/>=2(diff*same)]:-10
output-floder:/home/ec2-user/git/userquery/result-new

三菱マテリアル株式会社

@/home/ec2-user/data/topics/4748 0
@/home/ec2-user/data/topics/1638 0
@/home/ec2-user/data/topics/3591 1
@/home/ec2-user/data/topics/3520 1
@/home/ec2-user/data/topics/1085 2
@/home/ec2-user/data/topics/3630 3
@/home/ec2-user/data/topics/4821 4
@/home/ec2-user/data/topics/3866 4
@/home/ec2-user/data/topics/3470 5
@/home/ec2-user/data/topics/3609 6
@/home/ec2-user/data/topics/1537 6
@/home/ec2-user/data/topics/4195 6
@/home/ec2-user/data/topics/3546 6
@/home/ec2-user/data/topics/4669 7
@/home/ec2-user/data/topics/2093 7
@/home/ec2-user/data/topics/4268 8
日本精機株式会社

@/home/ec2-user/data/topics/4481 8
@/home/ec2-user/data/topics/3468 8
@/home/ec2-user/data/topics/4709 8
@/home/ec2-user/data/topics/4972 9
@/home/ec2-user/data/topics/2040 10
@/home/ec2-user/data/topics/1398 10
@/home/ec2-user/data/topics/4690 11
@/home/ec2-user/data/topics/1415 12
@/home/ec2-user/data/topics/1322 12
@/home/ec2-user/data/topics/4907 12
@/home/ec2-user/data/topics/4875 13
@/home/ec2-user/data/topics/2085 14
コニカ株式会社

@/home/ec2-user/data/topics/3357 14
@/home/ec2-user/data/topics/1404 14
@/home/ec2-user/data/topics/3370 14
@/home/ec2-user/data/topics/1946 15
@/home/ec2-user/data/topics/4135 16
@/home/ec2-user/data/topics/1172 16
@/home/ec2-user/data/topics/3486 16
@/home/ec2-user/data/topics/3414 17
@/home/ec2-user/data/topics/3419 18
@/home/ec2-user/data/topics/2002 19
@/home/ec2-user/data/topics/3426 19
@/home/ec2-user/data/topics/3614 20
@/home/ec2-user/data/topics/1837 20
@/home/ec2-user/data/topics/3418 20
@/home/ec2-user/data/topics/4002 21
@/home/ec2-user/data/topics/4664 21
@/home/ec2-user/data/topics/1938 21
@/home/ec2-user/data/topics/2162 21
@/home/ec2-user/data/topics/3750 22
@/home/ec2-user/data/topics/3533 22
@/home/ec2-user/data/topics/4134 23
@/home/ec2-user/data/topics/3431 23
埼玉日本電気株式会社

@/home/ec2-user/data/topics/1836 24
@/home/ec2-user/data/topics/3438 24
@/home/ec2-user/data/topics/2162 24
@/home/ec2-user/data/topics/4279 24
@/home/ec2-user/data/topics/1512 25
@/home/ec2-user/data/topics/4468 26
@/home/ec2-user/data/topics/4251 27
@/home/ec2-user/data/topics/4496 27
@/home/ec2-user/data/topics/1871 28
@/home/ec2-user/data/topics/4242 28
@/home/ec2-user/data/topics/2189 29
@/home/ec2-user/data/topics/3866 29
@/home/ec2-user/data/topics/4283 29
@/home/ec2-user/data/topics/1620 30
@/home/ec2-user/data/topics/5010 31
@/home/ec2-user/data/topics/3456 32
@/home/ec2-user/data/topics/4998 32
@/home/ec2-user/data/topics/1062 33
アルプス電気株式会社

@/home/ec2-user/data/topics/2012 33
@/home/ec2-user/data/topics/2089 33
@/home/ec2-user/data/topics/3582 34
@/home/ec2-user/data/topics/4250 35
@/home/ec2-user/data/topics/1434 35
@/home/ec2-user/data/topics/4516 36
@/home/ec2-user/data/topics/2234 36
@/home/ec2-user/data/topics/4800 36
@/home/ec2-user/data/topics/3808 36
@/home/ec2-user/data/topics/1025 36
@/home/ec2-user/data/topics/2196 36
@/home/ec2-user/data/topics/3429 36
@/home/ec2-user/data/topics/1253 37
@/home/ec2-user/data/topics/4791 38
三菱重工業株式会社

@/home/ec2-user/data/topics/4412 39
@/home/ec2-user/data/topics/3503 39
@/home/ec2-user/data/topics/3716 40
@/home/ec2-user/data/topics/3833 40
@/home/ec2-user/data/topics/5022 41
@/home/ec2-user/data/topics/4769 42
@/home/ec2-user/data/topics/1442 42
@/home/ec2-user/data/topics/1037 42
@/home/ec2-user/data/topics/4687 42
@/home/ec2-user/data/topics/4531 43
@/home/ec2-user/data/topics/2014 43
@/home/ec2-user/data/topics/4766 43
@/home/ec2-user/data/topics/4862 43
@/home/ec2-user/data/topics/1727 44
@/home/ec2-user/data/topics/3879 44
@/home/ec2-user/data/topics/1480 44
@/home/ec2-user/data/topics/3591 44
@/home/ec2-user/data/topics/3462 45
@/home/ec2-user/data/topics/4563 45
@/home/ec2-user/data/topics/3637 46
@/home/ec2-user/data/topics/3944 47
@/home/ec2-user/data/topics/4882 48
@/home/ec2-user/data/topics/4358 49
@/home/ec2-user/data/topics/3529 49
村田機械株式会社

@/home/ec2-user/data/topics/4441 50
@/home/ec2-user/data/topics/1074 50
@/home/ec2-user/data/topics/3528 51
@/home/ec2-user/data/topics/4596 52
@/home/ec2-user/data/topics/4890 53
@/home/ec2-user/data/topics/4035 53
@/home/ec2-user/data/topics/1511 53
@/home/ec2-user/data/topics/4638 54
@/home/ec2-user/data/topics/1605 55
@/home/ec2-user/data/topics/2194 55
@/home/ec2-user/data/topics/3561 55
@/home/ec2-user/data/topics/1293 55
@/home/ec2-user/data/topics/4941 56
@/home/ec2-user/data/topics/4565 57
@/home/ec2-user/data/topics/5000 58
@/home/ec2-user/data/topics/4835 59
@/home/ec2-user/data/topics/2217 60
@/home/ec2-user/data/topics/1716 60
@/home/ec2-user/data/topics/3695 60
@/home/ec2-user/data/topics/2093 60
@/home/ec2-user/data/topics/3537 60
@/home/ec2-user/data/topics/1607 60
@/home/ec2-user/data/topics/4732 61
@/home/ec2-user/data/topics/4746 61
@/home/ec2-user/data/topics/1329 62
@/home/ec2-user/data/topics/3740 62
@/home/ec2-user/data/topics/1179 63
@/home/ec2-user/data/topics/4415 63
@/home/ec2-user/data/topics/5005 63
@/home/ec2-user/data/topics/4848 63
@/home/ec2-user/data/topics/4556 63
@/home/ec2-user/data/topics/4570 64
@/home/ec2-user/data/topics/3467 65
@/home/ec2-user/data/topics/4645 65
川崎製鉄株式会社

@/home/ec2-user/data/topics/4727 66
@/home/ec2-user/data/topics/3611 66
@/home/ec2-user/data/topics/1837 67
@/home/ec2-user/data/topics/1037 67
@/home/ec2-user/data/topics/4615 68
@/home/ec2-user/data/topics/4719 69
@/home/ec2-user/data/topics/3459 69
@/home/ec2-user/data/topics/3889 69
@/home/ec2-user/data/topics/3483 69
@/home/ec2-user/data/topics/3537 70
@/home/ec2-user/data/topics/3553 70
@/home/ec2-user/data/topics/1459 71
@/home/ec2-user/data/topics/3532 72
@/home/ec2-user/data/topics/1151 73
@/home/ec2-user/data/topics/4821 73
@/home/ec2-user/data/topics/3413 73
@/home/ec2-user/data/topics/4711 74
@/home/ec2-user/data/topics/3929 74
ダイキン工業株式会社

@/home/ec2-user/data/topics/4732 75
@/home/ec2-user/data/topics/4858 75
@/home/ec2-user/data/topics/1147 76
@/home/ec2-user/data/topics/4845 76
@/home/ec2-user/data/topics/3888 77
@/home/ec2-user/data/topics/1565 78
@/home/ec2-user/data/topics/4400 79
@/home/ec2-user/data/topics/3814 80
@/home/ec2-user/data/topics/4820 80
@/home/ec2-user/data/topics/4117 80
@/home/ec2-user/data/topics/1439 80
@/home/ec2-user/data/topics/2124 80
@/home/ec2-user/data/topics/4367 80
@/home/ec2-user/data/topics/1776 81
@/home/ec2-user/data/topics/4683 81
@/home/ec2-user/data/topics/4734 81
@/home/ec2-user/data/topics/4515 82
@/home/ec2-user/data/topics/4753 83
